geneSet	description	link	size	overlap	expect	enrichmentRatio	pValue	FDR	overlapId	database	userId
GO:0044389	ubiquitin-like protein ligase binding	http://amigo.geneontology.org/amigo/term/GO:0044389	179	36	11.087426160337552	3.246921285372871	1.4306460790592924e-10	2.299048249048283e-7	819;1398;2272;2821;3093;3320;3326;4090;5573;5577;6233;6612;6613;7133;7167;7251;7322;7323;7334;7345;7531;7534;7917;8450;9482;11337;11345;23197;23710;27101;51619;54472;81631;84557;152137;387082	geneontology_Molecular_Function_noRedundant	STX8;MAP1LC3B;CCDC50;CACYBP;GABARAPL2;GABARAPL1;TSG101;UBE2D4;CUL4B;TOLLIP;YWHAE;SUMO3;UBE2K;GABARAP;MAP1LC3A;UBE2D2;UBE2D3;SUMO2;CAMLG;SMAD5;PRKAR1A;BAG6;SUMO4;PRKAR2B;HSP90AA1;RPS27A;TNFRSF1B;UBE2N;GPI;TPI1;CRK;UCHL1;HSP90AB1;YWHAZ;FAF2;FHIT
GO:0099003	vesicle-mediated transport in synapse	http://amigo.geneontology.org/amigo/term/GO:0099003	91	24	5.63662447257384	4.257867473126328	6.255343386851341e-10	5.026168411335053e-7	161;163;273;1759;2054;5413;5534;5575;5582;6453;6456;6457;6623;6804;6857;6860;6861;8447;9296;10814;10815;63908;91683;112476	geneontology_Biological_Process_noRedundant	PRKAR1B;SH3GL2;NAPB;AP2A2;ITSN1;CPLX2;PPP3R1;SYT4;SH3GL3;CPLX1;STX1A;SNCG;SEPTIN5;SYT1;PRRT2;DNM1;AMPH;AP2B1;ATP6V1F;SYT12;PRKCG;STX2;DOC2B;SYT5
GO:0006836	neurotransmitter transport	http://amigo.geneontology.org/amigo/term/GO:0006836	72	20	4.459746835443038	4.48455949137148	6.572277394029387e-9	3.5205499240684083e-6	815;2054;2670;5413;5582;6623;6804;6857;6860;6861;8447;8825;9378;10814;10815;11315;63908;64130;91683;112476	geneontology_Biological_Process_noRedundant	NAPB;CPLX2;LIN7B;SYT4;CPLX1;LIN7A;PARK7;STX1A;SNCG;SEPTIN5;GFAP;SYT1;PRRT2;SYT12;CAMK2A;NRXN1;PRKCG;STX2;DOC2B;SYT5
GO:0000149	SNARE binding	http://amigo.geneontology.org/amigo/term/GO:0000149	62	16	3.840337552742616	4.1663004306935045	6.692705677766035e-7	2.6887945060425044e-4	2054;6804;6857;6860;6861;8417;8447;9482;10490;10814;10815;11345;63908;91683;112476;143187	geneontology_Molecular_Function_noRedundant	STX8;GABARAPL2;NAPB;CPLX2;SYT4;CPLX1;STX1A;SYT1;PRRT2;SYT12;STX2;VTI1A;DOC2B;STX7;VTI1B;SYT5
GO:0098984	neuron to neuron synapse	http://amigo.geneontology.org/amigo/term/GO:0098984	163	27	10.096371308016877	2.674228113873055	1.95169992545623e-6	6.272763560416323e-4	375;815;1740;1742;2596;4744;5534;5575;5582;6457;6857;7533;8440;8825;9201;9456;9863;10243;10611;10882;27020;50944;64130;91683;112476;143187;389941	geneontology_Cellular_Component_noRedundant	PRKAR1B;SHANK1;NCK2;MAGI2;GAP43;PPP3R1;LIN7B;DCLK1;SH3GL3;LIN7A;HOMER1;ARF1;DLG2;SYT1;C1QL3;YWHAH;PDLIM5;PRRT2;GPHN;SYT12;CAMK2A;PRKCG;C1QL1;NPTN;VTI1A;DLG4;NEFH
GO:0043161	proteasome-mediated ubiquitin-dependent protein catabolic process	http://amigo.geneontology.org/amigo/term/GO:0043161	185	29	11.459071729957806	2.5307460048604464	2.5776267462959253e-6	6.903743635495919e-4	207;819;2272;3093;3300;3326;4189;5682;5683;5688;5691;5886;5887;6613;7323;7328;7334;7345;7917;11315;11337;23197;29978;55743;55968;56893;57154;79845;116988	geneontology_Biological_Process_noRedundant	RAD23A;RNF122;DNAJB9;CHFR;DNAJB2;SMURF1;PSMA7;RAD23B;UBQLN4;AGAP3;AKT1;UBE2K;GABARAP;PSMB3;UBQLN2;UBE2D3;PARK7;SUMO2;CAMLG;UBE2H;BAG6;PSMA1;UBE2N;NSFL1C;PSMA2;UCHL1;HSP90AB1;FAF2;FHIT
hsa04720	Long-term potentiation	http://www.kegg.jp/kegg-bin/show_pathway?hsa04720+23236+5502+5534+5582+5594+5604+5894+815+816+817	28	10	1.7343459915611814	5.765862203191904	3.5287607313840794e-6	8.101026421906023e-4	23236;5502;5534;5582;5594;5604;5894;815;816;817	pathway_KEGG	RAF1;PLCB1;PPP3R1;PPP1R1A;MAP2K1;MAPK1;CAMK2A;CAMK2B;CAMK2D;PRKCG
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	221	32	13.688945147679325	2.3376527303438666	4.504619419484388e-6	9.048654258889265e-4	375;794;815;816;1742;1759;2550;2648;2670;4744;5413;5534;5575;5577;5582;5594;6623;6804;6857;6860;7532;7533;9378;9456;10814;10815;23236;27020;50944;91683;112476;347730	geneontology_Biological_Process_noRedundant	GABBR1;PLCB1;PRKAR1B;SHANK1;CPLX2;PPP3R1;CALB2;SYT4;CPLX1;HOMER1;ARF1;LRRTM1;KAT2A;STX1A;SNCG;SEPTIN5;GFAP;SYT1;YWHAH;PRRT2;DNM1;SYT12;PRKAR2B;MAPK1;CAMK2A;CAMK2B;YWHAG;NRXN1;PRKCG;NPTN;DLG4;NEFH
hsa04721	Synaptic vesicle cycle	http://www.kegg.jp/kegg-bin/show_pathway?hsa04721+10814+10815+161+163+1759+2054+6804+6857+9296	24	9	1.4865822784810128	6.054155313351498	6.923414808136756e-6	0.0012362141774084185	10814;10815;161;163;1759;2054;6804;6857;9296	pathway_KEGG	AP2A2;CPLX2;CPLX1;STX1A;SYT1;DNM1;AP2B1;ATP6V1F;STX2
GO:0030674	protein-macromolecule adaptor activity	http://amigo.geneontology.org/amigo/term/GO:0030674	187	28	11.58295358649789	2.417345437060135	9.551303888410767e-6	0.001423237620326639	161;163;1398;1399;2054;4744;5195;5604;5781;6624;6767;6804;7531;8417;8440;8887;9456;9482;9863;10456;10490;11275;23197;23224;29978;50944;63908;143187	geneontology_Molecular_Function_noRedundant	STX8;NAPB;TAX1BP1;SHANK1;NCK2;AP2A2;MAGI2;YWHAE;ST13;UBQLN2;HOMER1;STX1A;HAX1;KLHL2;FSCN1;AP2B1;MAP2K1;PTPN11;CRK;STX2;VTI1A;STX7;PEX14;VTI1B;FAF2;SYNE2;CRKL;NEFH
