"marker" "inflation"
"a1.Antitrypsin_seq.3580.25" Inf
"a1.Microglobulin_seq.15453.3" Inf
"a2.Antiplasmin_seq.3024.18" Inf
"a2.HS.Glycoprotein_seq.3581.53" Inf
"ACAM.ECD_seq.10440.26" 44.9342016516041
"ACE_seq.10714.7" 98.2934101976619
"ACES_seq.10980.11" 119.869527091134
"ACY3_seq.21781.9" Inf
"ACYP1_seq.20370.6" 24.245806255577
"ADA22_seq.7933.75" 49.1504667099602
"ADAM.23_seq.7049.2" 19.3056628441846
"Adiponectin_seq.3554.24" Inf
"Adrenomedullin_seq.7922.5" 73.0844669545665
"Afamin_seq.18196.8" Inf
"Afamin_seq.4763.31" Inf
"Aggrecan_seq.3280.49" Inf
"AGRD1_seq.21546.20" Inf
"AIF1L_seq.18871.24" 128.911825105935
"ALCAM_seq.5451.1" 56.2051422222121
"alpha.1.antichymotrypsin.complex_seq.4153.11" Inf
"Alpha.1B.glycoprotein_seq.16561.9" Inf
"Alpha.amylase.2B_seq.10439.57" 97.6389187304113
"Alpha.amylase.2B_seq.15556.49" 73.8327628116967
"Alpha.L.fucosidase.I_seq.21384.2" Inf
"AMD_seq.5620.13" 72.6668793677585
"Aminopeptidase_seq.9394.19" Inf
"Angiogenin_seq.4874.3" Inf
"Angiopoietin.1_seq.2811.27" 131.360439277803
"Angiopoietin.2_seq.13660.76" 71.4474810521143
"Angiopoietin.2_seq.2602.2" 76.7601987217861
"Angiostatin_seq.3710.49" Inf
"ANGL1.C.term_seq.11142.11" 89.7359831393595
"ANGL3_seq.10382.1" Inf
"ANGL3_seq.10391.1" Inf
"APEX1_seq.9849.13" Inf
"Apo.A.I_seq.2750.3" Inf
"Apo.A.IV_seq.17685.9" Inf
"Apo.L1_seq.11510.31" Inf
"Apo.L1_seq.11510.51" Inf
"ApoM_seq.10445.20" Inf
"ARMEL_seq.4962.52" 77.0401911137783
"ARMET_seq.9223.11" 59.4042629639898
"ASM_seq.10818.36" Inf
"ASM3A_seq.14086.11" Inf
"ASM3A_seq.4771.10" Inf
"ATL2_seq.6379.62" 25.1532210191826
"ATOX1_seq.19233.75" 52.6930830318214
"ATS13_seq.3175.51" Inf
"B4GT1_seq.13381.49" 45.5614654708739
"B7.H1_seq.5060.62" 97.2085168145612
"BAI3_seq.15365.41" 47.3046512369141
"BAMBI.ECD_seq.8811.24" 36.2707042661045
"BASI_seq.3585.54" 61.9983117998488
"BCAM_seq.2816.50" 61.8944004625551
"BCMA_seq.2665.26" Inf
"Beta.dystroglycan_seq.23176.17" 30.0935865339119
"BGAT_seq.9253.52" Inf
"BGLR_seq.15562.24" Inf
"Biotinidase_seq.15644.1" 108.009241163743
"BMPER_seq.15368.3" 9.17863267319745
"BPSA_seq.21232.39" Inf
"BSSP4_seq.4534.10" Inf
"BST1_seq.4535.50" 131.383331419505
"BT2A1_seq.8869.5" 67.8483217062379
"BT3A2_seq.21433.3" 124.016812853888
"BTG_seq.17165.1" Inf
"C1.Esterase.Inhibitor_seq.4479.14" 132.06467182133
"C1QL2_seq.6423.66" 18.1015796656746
"C1QR1_seq.14136.234" 91.2787922714961
"C1r_seq.3285.23" Inf
"C1RL1_seq.9348.1" Inf
"C1s_seq.20203.45" 136.714393285438
"C1s_seq.8840.61" Inf
"C2_seq.3186.2" Inf
"C3a_seq.4900.8" Inf
"C3d_seq.5803.24" Inf
"C5_seq.2381.52" Inf
"C5a_seq.2851.63" Inf
"C7_seq.13731.14" Inf
"C7_seq.2888.49" 126.974779762597
"C9_seq.13722.105" Inf
"C9_seq.3060.43" Inf
"CAH11_seq.8859.51" 131.184702336252
"CALB2_seq.16803.4" 107.126866680882
"CALCB_seq.17170.15" 141.944760889352
"Calcineurin.B.a_seq.15545.13" 14.2084563873355
"Calcyphosin_seq.21143.10" Inf
"CALY_seq.8924.55" 23.8324813793801
"CANT1_seq.6480.1" 64.8339120458788
"Carbonic.anhydrase.I_seq.4969.2" Inf
"Carbonic.anhydrase.III_seq.3799.11" Inf
"Carbonic.Anhydrase.IV_seq.3177.49" 66.3913868368992
