"V1" "V2"
"1" "SM(d18:1/14:0)" "SM.d18.1.14.0."
"2" "SM(d18:1/14:1)" "SM.d18.1.14.1."
"3" "SM(d18:1/16:0)" "SM.d18.1.16.0."
"4" "SM(d18:1/16:1)" "SM.d18.1.16.1."
"5" "SM(d18:1/16:2)" "SM.d18.1.16.2."
"6" "SM(d18:1/18:0)" "SM.d18.1.18.0."
"7" "SM(d18:1/18:1)" "SM.d18.1.18.1."
"8" "SM(d18:1/18:2)" "SM.d18.1.18.2."
"9" "SM(d18:1/18:3)" "SM.d18.1.18.3."
"10" "SM(d18:1/20:0)" "SM.d18.1.20.0."
"11" "SM(d18:1/20:1)" "SM.d18.1.20.1."
"12" "SM(d18:1/20:2)" "SM.d18.1.20.2."
"13" "SM(d18:1/20:3)" "SM.d18.1.20.3."
"14" "SM(d18:1/20:4)" "SM.d18.1.20.4."
"15" "SM(d18:1/20:5)" "SM.d18.1.20.5."
"16" "SM(d18:1/22:0)" "SM.d18.1.22.0."
"17" "SM(d18:1/22:1)" "SM.d18.1.22.1."
"18" "SM(d18:1/22:2)" "SM.d18.1.22.2."
"19" "SM(d18:1/22:3)" "SM.d18.1.22.3."
"20" "SM(d18:1/22:4)" "SM.d18.1.22.4."
"21" "SM(d18:1/22:5)" "SM.d18.1.22.5."
"22" "SM(d18:1/22:6)" "SM.d18.1.22.6."
"23" "SM(d18:1/24:0)" "SM.d18.1.24.0."
"24" "SM(d18:1/24:1)" "SM.d18.1.24.1."
"25" "SM(d18:1/26:0)" "SM.d18.1.26.0."
"26" "SM(d18:1/26:1)" "SM.d18.1.26.1."
"27" "CE(14:0)" "CE.14.0."
"28" "CE(14:1)" "CE.14.1."
"29" "CE(16:0)" "CE.16.0."
"30" "CE(16:1)" "CE.16.1."
"31" "CE(16:2)" "CE.16.2."
"32" "CE(18:0)" "CE.18.0."
"33" "CE(18:1)" "CE.18.1."
"34" "CE(18:2)" "CE.18.2."
"35" "CE(18:3)" "CE.18.3."
"36" "CE(20:0)" "CE.20.0."
"37" "CE(20:1)" "CE.20.1."
"38" "CE(20:2)" "CE.20.2."
"39" "CE(20:3)" "CE.20.3."
"40" "CE(20:4)" "CE.20.4."
"41" "CE(20:5)" "CE.20.5."
"42" "CE(22:0)" "CE.22.0."
"43" "CE(22:1)" "CE.22.1."
"44" "CE(22:2)" "CE.22.2."
"45" "CE(22:3)" "CE.22.3."
"46" "CE(22:4)" "CE.22.4."
"47" "CE(22:5)" "CE.22.5."
"48" "CE(22:6)" "CE.22.6."
"49" "Cer(d18:1/14:0)" "Cer.d18.1.14.0."
"50" "Cer(d18:1/14:1)" "Cer.d18.1.14.1."
"51" "Cer(d18:1/16:0)" "Cer.d18.1.16.0."
"52" "Cer(d18:1/16:1)" "Cer.d18.1.16.1."
"53" "Cer(d18:1/16:2)" "Cer.d18.1.16.2."
"54" "Cer(d18:1/18:0)" "Cer.d18.1.18.0."
"55" "Cer(d18:1/18:1)" "Cer.d18.1.18.1."
"56" "Cer(d18:1/18:2)" "Cer.d18.1.18.2."
"57" "Cer(d18:1/18:3)" "Cer.d18.1.18.3."
"58" "Cer(d18:1/20:0)" "Cer.d18.1.20.0."
"59" "Cer(d18:1/20:1)" "Cer.d18.1.20.1."
"60" "Cer(d18:1/20:2)" "Cer.d18.1.20.2."
"61" "Cer(d18:1/20:3)" "Cer.d18.1.20.3."
"62" "Cer(d18:1/20:4)" "Cer.d18.1.20.4."
"63" "Cer(d18:1/20:5)" "Cer.d18.1.20.5."
"64" "Cer(d18:1/22:0)" "Cer.d18.1.22.0."
"65" "Cer(d18:1/22:1)" "Cer.d18.1.22.1."
"66" "Cer(d18:1/22:2)" "Cer.d18.1.22.2."
"67" "Cer(d18:1/22:3)" "Cer.d18.1.22.3."
"68" "Cer(d18:1/22:4)" "Cer.d18.1.22.4."
"69" "Cer(d18:1/22:5)" "Cer.d18.1.22.5."
"70" "Cer(d18:1/22:6)" "Cer.d18.1.22.6."
"71" "Cer(d18:1/24:0)" "Cer.d18.1.24.0."
"72" "Cer(d18:1/24:1)" "Cer.d18.1.24.1."
"73" "Cer(d18:1/26:0)" "Cer.d18.1.26.0."
"74" "Cer(d18:1/26:1)" "Cer.d18.1.26.1."
"75" "Cer(d18:0/14:0)" "Cer.d18.0.14.0."
"76" "Cer(d18:0/14:1)" "Cer.d18.0.14.1."
"77" "Cer(d18:0/16:0)" "Cer.d18.0.16.0."
"78" "Cer(d18:0/16:1)" "Cer.d18.0.16.1."
"79" "Cer(d18:0/16:2)" "Cer.d18.0.16.2."
"80" "Cer(d18:0/18:0)" "Cer.d18.0.18.0."
"81" "Cer(d18:0/18:1)" "Cer.d18.0.18.1."
"82" "Cer(d18:0/18:2)" "Cer.d18.0.18.2."
"83" "Cer(d18:0/18:3)" "Cer.d18.0.18.3."
"84" "Cer(d18:0/20:0)" "Cer.d18.0.20.0."
"85" "Cer(d18:0/20:1)" "Cer.d18.0.20.1."
"86" "Cer(d18:0/20:2)" "Cer.d18.0.20.2."
"87" "Cer(d18:0/20:3)" "Cer.d18.0.20.3."
"88" "Cer(d18:0/20:4)" "Cer.d18.0.20.4."
"89" "Cer(d18:0/20:5)" "Cer.d18.0.20.5."
"90" "Cer(d18:0/22:0)" "Cer.d18.0.22.0."
"91" "Cer(d18:0/22:1)" "Cer.d18.0.22.1."
"92" "Cer(d18:0/22:2)" "Cer.d18.0.22.2."
"93" "Cer(d18:0/22:3)" "Cer.d18.0.22.3."
"94" "Cer(d18:0/22:4)" "Cer.d18.0.22.4."
"95" "Cer(d18:0/22:5)" "Cer.d18.0.22.5."
"96" "Cer(d18:0/22:6)" "Cer.d18.0.22.6."
"97" "Cer(d18:0/24:0)" "Cer.d18.0.24.0."
"98" "Cer(d18:0/24:1)" "Cer.d18.0.24.1."
"99" "Cer(d18:0/26:0)" "Cer.d18.0.26.0."
"100" "Cer(d18:0/26:1)" "Cer.d18.0.26.1."
"101" "HexCer(d18:1/14:0)" "HexCer.d18.1.14.0."
"102" "HexCer(d18:1/14:1)" "HexCer.d18.1.14.1."
"103" "HexCer(d18:1/16:0)" "HexCer.d18.1.16.0."
"104" "HexCer(d18:1/16:1)" "HexCer.d18.1.16.1."
"105" "HexCer(d18:1/16:2)" "HexCer.d18.1.16.2."
"106" "HexCer(d18:1/18:0)" "HexCer.d18.1.18.0."
"107" "HexCer(d18:1/18:1)" "HexCer.d18.1.18.1."
"108" "HexCer(d18:1/18:2)" "HexCer.d18.1.18.2."
"109" "HexCer(d18:1/18:3)" "HexCer.d18.1.18.3."
"110" "HexCer(d18:1/20:0)" "HexCer.d18.1.20.0."
"111" "HexCer(d18:1/20:1)" "HexCer.d18.1.20.1."
"112" "HexCer(d18:1/20:2)" "HexCer.d18.1.20.2."
"113" "HexCer(d18:1/20:3)" "HexCer.d18.1.20.3."
"114" "HexCer(d18:1/20:4)" "HexCer.d18.1.20.4."
"115" "HexCer(d18:1/20:5)" "HexCer.d18.1.20.5."
"116" "HexCer(d18:1/22:0)" "HexCer.d18.1.22.0."
"117" "HexCer(d18:1/22:1)" "HexCer.d18.1.22.1."
"118" "HexCer(d18:1/22:2)" "HexCer.d18.1.22.2."
"119" "HexCer(d18:1/22:3)" "HexCer.d18.1.22.3."
"120" "HexCer(d18:1/22:4)" "HexCer.d18.1.22.4."
"121" "HexCer(d18:1/22:5)" "HexCer.d18.1.22.5."
"122" "HexCer(d18:1/22:6)" "HexCer.d18.1.22.6."
"123" "LacCer(d18:1/14:0)" "LacCer.d18.1.14.0."
"124" "LacCer(d18:1/14:1)" "LacCer.d18.1.14.1."
"125" "LacCer(d18:1/16:0)" "LacCer.d18.1.16.0."
"126" "LacCer(d18:1/16:1)" "LacCer.d18.1.16.1."
"127" "LacCer(d18:1/16:2)" "LacCer.d18.1.16.2."
"128" "LacCer(d18:1/18:0)" "LacCer.d18.1.18.0."
"129" "LacCer(d18:1/18:1)" "LacCer.d18.1.18.1."
"130" "LacCer(d18:1/18:2)" "LacCer.d18.1.18.2."
"131" "LacCer(d18:1/18:3)" "LacCer.d18.1.18.3."
"132" "LacCer(d18:1/20:0)" "LacCer.d18.1.20.0."
"133" "LacCer(d18:1/20:1)" "LacCer.d18.1.20.1."
"134" "LacCer(d18:1/20:2)" "LacCer.d18.1.20.2."
"135" "LacCer(d18:1/20:3)" "LacCer.d18.1.20.3."
"136" "LacCer(d18:1/20:4)" "LacCer.d18.1.20.4."
"137" "LacCer(d18:1/20:5)" "LacCer.d18.1.20.5."
"138" "LacCer(d18:1/22:0)" "LacCer.d18.1.22.0."
"139" "LacCer(d18:1/22:1)" "LacCer.d18.1.22.1."
"140" "LacCer(d18:1/22:2)" "LacCer.d18.1.22.2."
"141" "LacCer(d18:1/22:3)" "LacCer.d18.1.22.3."
"142" "LacCer(d18:1/22:4)" "LacCer.d18.1.22.4."
"143" "LacCer(d18:1/22:5)" "LacCer.d18.1.22.5."
"144" "LacCer(d18:1/22:6)" "LacCer.d18.1.22.6."
"145" "TG(48:0/FA16:0)" "TG.48.0.FA16.0."
"146" "TG(48:1/FA16:0)" "TG.48.1.FA16.0."
"147" "TG(48:1/FA16:1)" "TG.48.1.FA16.1."
"148" "TG(50:0/FA16:0)" "TG.50.0.FA16.0."
"149" "TG(50:0/FA18:0)" "TG.50.0.FA18.0."
"150" "TG(50:1/FA16:0)" "TG.50.1.FA16.0."
"151" "TG(50:1/FA18:1)" "TG.50.1.FA18.1."
"152" "TG(50:2/FA16:0)" "TG.50.2.FA16.0."
"153" "TG(50:2/FA18:2)" "TG.50.2.FA18.2."
"154" "TG(50:3/FA16:0)" "TG.50.3.FA16.0."
"155" "TG(50:3/FA18:3)" "TG.50.3.FA18.3."
"156" "TG(52:2/FA16:0)" "TG.52.2.FA16.0."
"157" "TG(52:2/FA20:2)" "TG.52.2.FA20.2."
"158" "TG(52:3/FA16:0)" "TG.52.3.FA16.0."
"159" "TG(52:3/FA20:3)" "TG.52.3.FA20.3."
"160" "TG(52:4/FA16:0)" "TG.52.4.FA16.0."
"161" "TG(52:4/FA20:4)" "TG.52.4.FA20.4."
"162" "TG(52:5/FA16:0)" "TG.52.5.FA16.0."
"163" "TG(52:5/FA20:5)" "TG.52.5.FA20.5."
"164" "TG(54:2/FA16:0)" "TG.54.2.FA16.0."
"165" "TG(54:2/FA22:2)" "TG.54.2.FA22.2."
"166" "TG(54:4/FA16:0)" "TG.54.4.FA16.0."
"167" "TG(54:4/FA22:4)" "TG.54.4.FA22.4."
"168" "TG(54:5/FA16:0)" "TG.54.5.FA16.0."
"169" "TG(54:5/FA22:5)" "TG.54.5.FA22.5."
"170" "TG(54:6/FA16:0)" "TG.54.6.FA16.0."
"171" "TG(54:6/FA22:6)" "TG.54.6.FA22.6."
"172" "TG(48:2/FA16:0)" "TG.48.2.FA16.0."
"173" "TG(48:2/FA16:1)" "TG.48.2.FA16.1."
"174" "TG(50:1/FA16:1)" "TG.50.1.FA16.1."
"175" "TG(50:1/FA18:0)" "TG.50.1.FA18.0."
"176" "TG(50:2/FA16:1)" "TG.50.2.FA16.1."
"177" "TG(50:2/FA18:1)" "TG.50.2.FA18.1."
"178" "TG(50:3/FA16:1)" "TG.50.3.FA16.1."
"179" "TG(50:3/FA18:2)" "TG.50.3.FA18.2."
"180" "TG(50:4/FA16:0)" "TG.50.4.FA16.0."
"181" "TG(50:4/FA16:1)" "TG.50.4.FA16.1."
"182" "TG(50:4/FA18:3)" "TG.50.4.FA18.3."
"183" "TG(52:3/FA16:1)" "TG.52.3.FA16.1."
"184" "TG(52:3/FA20:2)" "TG.52.3.FA20.2."
"185" "TG(52:4/FA16:1)" "TG.52.4.FA16.1."
"186" "TG(52:4/FA20:3)" "TG.52.4.FA20.3."
"187" "TG(52:5/FA16:1)" "TG.52.5.FA16.1."
"188" "TG(52:5/FA20:4)" "TG.52.5.FA20.4."
"189" "TG(52:6/FA16:0)" "TG.52.6.FA16.0."
"190" "TG(52:6/FA16:1)" "TG.52.6.FA16.1."
"191" "TG(52:6/FA20:5)" "TG.52.6.FA20.5."
"192" "TG(54:3/FA16:0)" "TG.54.3.FA16.0."
"193" "TG(54:3/FA16:1)" "TG.54.3.FA16.1."
"194" "TG(54:3/FA22:2)" "TG.54.3.FA22.2."
"195" "TG(54:5/FA16:1)" "TG.54.5.FA16.1."
"196" "TG(54:5/FA22:4)" "TG.54.5.FA22.4."
"197" "TG(54:6/FA16:1)" "TG.54.6.FA16.1."
"198" "TG(54:6/FA22:5)" "TG.54.6.FA22.5."
"199" "TG(54:7/FA16:0)" "TG.54.7.FA16.0."
"200" "TG(54:7/FA16:1)" "TG.54.7.FA16.1."
"201" "TG(54:7/FA22:6)" "TG.54.7.FA22.6."
"202" "TG(52:0/FA16:0)" "TG.52.0.FA16.0."
"203" "TG(52:0/FA18:0)" "TG.52.0.FA18.0."
"204" "TG(52:1/FA16:0)" "TG.52.1.FA16.0."
"205" "TG(52:1/FA18:0)" "TG.52.1.FA18.0."
"206" "TG(52:1/FA18:1)" "TG.52.1.FA18.1."
"207" "TG(52:2/FA18:0)" "TG.52.2.FA18.0."
"208" "TG(52:2/FA18:2)" "TG.52.2.FA18.2."
"209" "TG(52:3/FA18:0)" "TG.52.3.FA18.0."
"210" "TG(52:3/FA18:3)" "TG.52.3.FA18.3."
"211" "TG(54:2/FA18:0)" "TG.54.2.FA18.0."
"212" "TG(54:2/FA20:2)" "TG.54.2.FA20.2."
"213" "TG(54:3/FA18:0)" "TG.54.3.FA18.0."
"214" "TG(54:3/FA20:3)" "TG.54.3.FA20.3."
"215" "TG(54:4/FA18:0)" "TG.54.4.FA18.0."
"216" "TG(54:4/FA20:4)" "TG.54.4.FA20.4."
"217" "TG(54:5/FA18:0)" "TG.54.5.FA18.0."
"218" "TG(54:5/FA20:5)" "TG.54.5.FA20.5."
"219" "TG(56:2/FA16:0)" "TG.56.2.FA16.0."
"220" "TG(56:2/FA18:0)" "TG.56.2.FA18.0."
"221" "TG(56:2/FA22:2)" "TG.56.2.FA22.2."
"222" "TG(56:4/FA16:0)" "TG.56.4.FA16.0."
